"","strain","isotype","substrate","latitude","longitude","elevation","landscape","isolation_date","source_lab","isolated_by","sampled_by"
"36","CX11262","CX11262","Soil","34.130138","-118.114835","213.6786041259766","Botanical garden zoo","2003-09-01","CX","A. Sivasundar","A. Sivasundar"
"37","CX11294","CX11262","Soil","34.12946","-118.10987","204.8536529541016","Urban garden","2003-09-01","CX","A. Sivasundar","A. Sivasundar"
"38","CX11264","CX11264","Soil","34.130138","-118.114835","213.6786041259766","Botanical garden zoo","2003-09-01","CX","A. Sivasundar","A. Sivasundar"
"39","CX11271","CX11271","Soil","34.13712","-118.12532","233.0507965087891","Urban garden","2003-09-01","CX","A. Sivasundar","A. Sivasundar"
"40","CX11319","CX11271","Soil","34.13712","-118.12532","233.0507965087891","Urban garden","2003-09-01","CX","A. Sivasundar","A. Sivasundar"
"41","CX11276","CX11276","Soil","34.20111","-118.21198","391.0933227539062","Botanical garden zoo","2003-09-01","CX","A. Sivasundar","A. Sivasundar"
"42","CX11316","CX11276","Soil","34.20111","-118.21198","391.0933227539062","Botanical garden zoo","2003-09-01","CX","A. Sivasundar","A. Sivasundar"
"43","CX11285","CX11285","Soil","34.14331","-118.05496","160.9564514160156","Botanical garden zoo","2003-09-01","CX","A. Sivasundar","A. Sivasundar"
"44","CX11321","CX11285","Soil","34.14331","-118.05496","160.9564514160156","Botanical garden zoo","2003-09-01","CX","A. Sivasundar","A. Sivasundar"
"45","CX11259","CX11292","Soil","34.13531","-118.30582","390.21337890625","Urban garden","2004-02-01","CX","A. Sivasundar","A. Sivasundar"
"46","CX11292","CX11292","Soil","34.13531","-118.30582","390.21337890625","Urban garden","2004-02-01","CX","A. Sivasundar","A. Sivasundar"
"47","CX11307","CX11307","Soil","34.12946","-118.10987","204.8536529541016","Urban garden","2013-09-03","CX","A. Sivasundar","A. Sivasundar"
"48","CX11314","CX11314","Soil","34.12946","-118.10987","204.8536529541016","Urban garden","2003-09-01","CX","A. Sivasundar","A. Sivasundar"
"49","CX11268","CX11315","Soil","34.130138","-118.114835","213.6786041259766","Botanical garden zoo","2003-09-01","CX","A. Sivasundar","A. Sivasundar"
"50","CX11315","CX11315","Soil","34.12946","-118.10987","204.8536529541016","Urban garden","2013-09-03","CX","A. Sivasundar","A. Sivasundar"
"51","DL200","DL200","Soil","9.03","38.74","2442.13427734375","Urban garden","2007-12-01","DL","D. Denver","D. Denver"
"52","DL226","DL226","Soil","44.5633","-123.2821","72.87773895263672","Urban garden","2008-01-01","DL","C. Hilburn","C. Hilburn"
"53","DL238","DL238","Leaf litter","19.11","-155.81","652.7086181640625","Forest","2008-07-15","DL","J. Knapp","J. Knapp"
"54","ECA192","ECA189","Compost","19.424444","-155.221944","1115.360473632812","Forest","2014-07-09","ECA","R. Tanny","T. Blanche"
"55","ECA189","ECA189","Soil","19.423889","-155.2225","1117.420166015625","Forest","2014-07-09","ECA","R. Tanny","T. Blanche"
"56","ECA193","ECA189","Compost","19.424444","-155.221944","1115.360473632812","Forest","2014-07-09","ECA","R. Tanny","T. Blanche"
"57","ECA190","ECA189","Soil","19.423889","-155.2225","1117.420166015625","Forest","2014-07-09","ECA","R. Tanny","T. Blanche"
"58","ECA393","ECA189","Compost","19.449831","-155.235493","1135.87060546875","Rural garden","2016-05-17","ECA","R. Tanny","G. Chavez"
"59","ECA395","ECA189","Soil","19.449831","-155.235493","1135.87060546875","Rural garden","2016-05-17","ECA","R. Tanny","G. Chavez"
"60","ECA191","ECA191","Rotting flower","19.424167","-155.221944","1115.475463867188","Forest","2014-07-09","ECA","R. Tanny","T. Blanche"
"61","ECA252","ECA252","Flower","34.1","-118.1","132.131591796875","Urban garden","1973-06-01","CB","None","E. Hedgecock"
"62","ECA339","ECA252","Soil","44.85","0.48","18.0","None","1949-01-01","JU","None","V. Nigon"
"63","ECA348","ECA348","Rotting fruit","37.775334","-122.253889","4.278390407562256","Urban garden","2015-12-30","ECA","K. Patel","S. Zdraljevic"
"64","ECA349","ECA349","Rotting nut","32.765758","-117.236741","3.091320753097534","Urban garden","2016-02-09","ECA","K. Patel","E. Andersen"
"65","ECA350","ECA349","Slug","32.765353","-117.235442","3.310747146606445","Urban garden","2016-02-09","ECA","K. Patel","E. Andersen"
"66","ECA36","ECA36","Leaf litter","-36.893333","174.745529","45.98747634887695","Urban garden","2013-07-27","ECA","K. Ly","I. Ly"
"67","ECA363","ECA363","Leaf litter","20.723611","-156.304444","1629.508422851562","Forest","2016-02-19","ECA","K. Patel","C. Andersen & M. Andersen"
"68","ECA369","ECA369","Leaf litter","21.175556","-157.006389","474.8409729003906","Forest","2016-02-20","ECA","K. Patel","C. Andersen & M. Andersen"
"69","ECA372","ECA372","Leaf litter","22.121667","-159.664444","1111.0673828125","Forest","2016-02-27","ECA","K. Patel","C. Andersen & M. Andersen"
"70","ECA396","ECA396","Rotting fruit","19.449831","-155.235493","1135.87060546875","Rural garden","2016-05-17","ECA","R. Tanny","G. Chavez"
"71","ECA397","ECA396","Rotting fruit","19.449831","-155.235493","1135.87060546875","Rural garden","2016-05-17","ECA","R. Tanny","G. Chavez"
"72","ECA398","ECA396","Rotting fruit","19.449831","-155.235493","1135.87060546875","Rural garden","2016-05-17","ECA","R. Tanny","G. Chavez"
