"","strain","isotype","substrate","latitude","longitude","elevation","landscape","isolation_date","source_lab","isolated_by","sampled_by"
"195","JU2526","JU2526","Rotting fruit","38.7175","-9.1486","65.96717071533203","Botanical garden zoo","2013-08-25","JU","M.-A. Félix","M.-A. Félix"
"196","JU2534","JU2534","Fruit","49.357921","0.097087","42.70938110351562","None","2013-06-09","JU","S. Marsh","S. Marsh"
"197","JU2565","JU2565","Rotting fruit","44.958394","1.066213","215.3120422363281","None","2013-10-05","JU","L. Frézal","T. Bélicard"
"198","JU2566","JU2566","Rotting stem","48.83886","2.44599","49.88446807861328","Botanical garden zoo","2013-10-02","JU","L. Frézal","M.-A. Félix"
"199","JU2570","JU2570","Rotting nut","46.2657","-0.2685","87.9295883178711","None","2013-11-13","JU","L. Frézal","F. Besnard"
"200","JU2572","JU2572","Rotting stem","48.81257","2.395372","33.6448860168457","None","2013-10-01","JU","S. Marsh","None"
"201","JU2575","JU2575","Rotting stem","49.0857","3.0707","55.51478958129883","None","2013-10-26","JU","M.-A. Félix","M.-A. Félix & S. Marsh"
"202","JU2576","JU2576","Rotting stem","49.0861","3.072","56.5188102722168","None","2013-10-26","JU","M.-A. Félix","S. Marsh & M.-A. Félix"
"203","JU2578","JU2578","Compost","48.87613","2.4315","116.3676528930664","Botanical garden zoo","2013-10-27","JU","M.-A. Félix","M.-A. Félix"
"204","JU258","JU258","Soil","32.73","-16.89","1041.032104492188","Agricultural land","2001-10-01","CGC","M.-A. Félix","M.-A. Félix"
"205","JU2581","JU2581","Fruit","46.6","1.1","109.1673889160156","Urban garden","2013-11-03","JU","M.-A. Félix","M.-A. Félix"
"206","JU2586","JU2586","Rotting fruit","48.897","2.159","36.6717529296875","None","2013-11-11","JU","L. Frézal","A. Zalmanski"
"207","JU2587","JU2587","Compost","45.026713","3.872016","660.5974731445312","None","2013-11-10","JU","A. Richaud","A. Richaud"
"208","JU2592","JU2592","Rotting fruit","48.628558","-2.403836","44.05879592895508","None","2013-11-11","JU","L. Frézal","None"
"209","JU2593","JU2593","Compost","48.822556","2.222334","80.14038848876953","None","2013-01-01","JU","L. Frézal","None"
"210","JU1924","JU2600","Rotting stem","49.12604","1.95114","64.65354919433594","Forest","2009-10-25","JU","M.-A. Félix","M.-A. Félix"
"211","JU2151","JU2600","Rotting stem","49.121","1.951","55.57392501831055","Forest","2011-10-31","JU","M.-A. Félix","M.-A. Félix"
"212","JU2600","JU2600","Rotting fruit","49.1242","1.9496","53.49056625366211","None","2013-11-20","JU","M.-A. Félix","S. Marsh & M.-A. Félix"
"213","JU3138","JU2600","Rotting stem","49.1269","1.9595","88.03592681884766","Rural garden","2011-11-07","JU","M.-A. Félix","M.-A. Félix"
"214","JU2610","JU2610","Rotting fruit","49.1075","1.7915","129.8073425292969","None","2013-11-20","JU","M.-A. Félix","S. Marsh & M.-A. Félix"
"215","JU2619","JU2619","Compost","32.998352","-117.275428","20.6715087890625","None","2014-01-01","JU","M.-A. Félix","S. Marsh"
"216","JU2800","JU2800","Rotting fruit","48.79","2.331","44.95786666870117","None","2014-09-01","JU","M.-A. Félix","M. Casado"
"217","JU2802","JU2800","Rotting fruit","48.9067","2.14167","47.80373001098633","Rural garden","2014-09-14","JU","F. Besnard","F. Besnard"
"218","JU2811","JU2811","Rotting fruit","-33.8632","151.219453","4.906339645385742","Botanical garden zoo","2014-09-24","JU","S. Marsh","S. Marsh"
"219","JU2825","JU2825","Rotting stem","48.8092","2.3862","41.65234756469727","None","2014-11-14","JU","R. Luallen","None"
"220","JU2828","JU2829","Rotting fruit","46.632","1.064","79.77227020263672","None","2010-10-03","JU","M.-A. Félix","M.-A. Félix"
"221","JU2829","JU2829","Rotting fruit","46.632","1.064","79.77227020263672","None","2010-10-03","JU","M.-A. Félix","M.-A. Félix"
"222","JU2830","JU2829","Rotting fruit","46.632","1.064","79.77227020263672","None","2010-10-03","JU","M.-A. Félix","M.-A. Félix"
"223","JU2838","JU2838","Rotting fruit","20.205961","-97.98832","1302.251342773438","None","2015-01-01","JU","A. Velazquez","A. Velazquez"
"224","JU2841","JU2841","Slug","None","None","None","None","2015-03-01","JU","M. Wilson","M. Wilson"
"225","JU2853","JU2853","Soil","41.19","-7.545","82.05162811279297","None","2015-05-01","JU","M.-A. Félix","M. Félix & B. Félix"
"226","JU2862","JU2862","Rotting plant","52.1944","0.1264","16.39559173583984","Botanical garden zoo","2015-06-06","JU","M.-A. Félix","M.-A. Félix"
"227","JU2866","JU2866","Rotting fruit","34.0751","-118.4409","139.6024627685547","Botanical garden zoo","2015-06-28","JU","M.-A. Félix","M.-A. Félix"
"228","JU2878","JU2878","Rotting fruit","19.29732","-99.098769","2234.03564453125","Botanical garden zoo","2015-07-02","JU","A. Velazquez","A. Velazquez"
"229","JU2879","JU2879","Rotting fruit","19.29732","-99.098769","2234.03564453125","Botanical garden zoo","2015-07-02","JU","A. Velazquez","A. Velazquez"
"230","JU2906","JU2906","Rotting stem","43.8023","11.2806","86.50807189941406","Urban garden","2015-12-13","JU","M.-A. Félix","M.-A. Félix"
"231","JU2907","JU2907","Compost","43.8021","11.2906","165.0279541015625","Rural garden","2015-12-13","JU","M.-A. Félix","M.-A. Félix"
"232","JU2908","JU2907","Rotting fruit","43.8063","11.2839","142.7747192382812","Rural garden","2015-12-13","JU","M.-A. Félix","M.-A. Félix"
"233","JU1026","JU310","Rotting fruit","46.63","1.06","95.57955932617188","None","2006-10-15","JU","M.-A. Félix","M.-A. Félix"
"234","JU1037","JU310","Rotting fruit","46.63","1.06","95.57955932617188","None","2006-10-15","JU","M.-A. Félix","M.-A. Félix"
"235","JU1039","JU310","Rotting fruit","46.63","1.06","95.57955932617188","None","2006-10-15","JU","M.-A. Félix","M.-A. Félix"
"236","JU1040","JU310","Rotting fruit","46.63","1.06","95.57955932617188","None","2006-10-15","JU","M.-A. Félix","M.-A. Félix"
"237","JU1204","JU310","Rotting fruit","46.63","1.06","95.57955932617188","None","2007-09-11","JU","M.-A. Félix","M.-A. Félix"
"238","JU1206","JU310","Rotting fruit","46.63","1.06","95.57955932617188","None","2007-09-11","JU","M.-A. Félix","M.-A. Félix"
"239","JU262","JU310","Compost","46.63","1.06","95.57955932617188","Rural garden","2001-11-03","JU","M.-A. Félix","M.-A. Félix"
"240","JU263","JU310","Compost","46.63","1.06","95.57955932617188","Rural garden","2001-11-03","JU","M.-A. Félix","M.-A. Félix"
"241","JU299","JU310","Compost","46.63","1.06","95.57955932617188","Rural garden","2002-08-25","JU","M.-A. Félix","M.-A. Félix"
"242","JU300","JU310","Compost","46.63","1.06","95.57955932617188","Rural garden","2002-08-25","JU","M.-A. Félix","M.-A. Félix"
"243","JU301","JU310","Compost","46.63","1.06","95.57955932617188","Rural garden","2002-08-25","JU","M.-A. Félix","M.-A. Félix"
"244","JU302","JU310","Compost","46.63","1.06","95.57955932617188","Rural garden","2002-08-25","JU","M.-A. Félix","M.-A. Félix"
"245","JU303","JU310","Compost","46.63","1.06","95.57955932617188","Rural garden","2002-08-25","JU","M.-A. Félix","M.-A. Félix"
"246","JU305","JU310","Compost","46.63","1.06","95.57955932617188","Rural garden","2002-08-25","JU","M.-A. Félix","M.-A. Félix"
"247","JU306","JU310","Compost","46.63","1.06","95.57955932617188","Rural garden","2002-08-25","JU","M.-A. Félix","M.-A. Félix"
"248","JU307","JU310","Compost","46.63","1.06","95.57955932617188","Rural garden","2002-08-25","JU","M.-A. Félix","M.-A. Félix"
"249","JU309","JU310","Compost","46.63","1.06","95.57955932617188","Rural garden","2002-08-25","JU","M.-A. Félix","M.-A. Félix"
"250","JU310","JU310","Compost","46.63","1.06","95.57955932617188","Rural garden","2002-08-25","JU","M.-A. Félix","M.-A. Félix"
"251","JU438","JU310","Compost","49.28","-0.32","15.89697360992432","Rural garden","2003-06-01","JU","A. Barrière","A. Barrière"
"252","JU311","JU311","Snail","44.42","4.4","147.5157623291016","Rural garden","2002-09-08","JU","M.-A. Félix","M.-A. Félix"
"253","JU312","JU311","Snail","44.42","4.4","147.5157623291016","Rural garden","2002-09-08","JU","M.-A. Félix","M.-A. Félix"
"254","JU313","JU311","Snail","44.42","4.4","147.5157623291016","Rural garden","2002-09-08","JU","M.-A. Félix","M.-A. Félix"
"255","JU314","JU311","Snail","44.42","4.4","147.5157623291016","Rural garden","2002-09-08","JU","M.-A. Félix","M.-A. Félix"
"256","JU315","JU311","Snail","44.2","4.4","223.8717193603516","Rural garden","2002-09-08","JU","M.-A. Félix","M.-A. Félix"
"257","JU316","JU311","None","44.42","4.4","147.5157623291016","Rural garden","2002-09-08","JU","M.-A. Félix","M.-A. Félix"
"258","JU317","JU311","None","44.42","4.4","147.5157623291016","Rural garden","2002-09-08","JU","M.-A. Félix","M.-A. Félix"
"259","JU318","JU311","None","44.42","4.4","147.5157623291016","Rural garden","2002-09-08","JU","M.-A. Félix","M.-A. Félix"
"260","JU319","JU311","None","44.42","4.4","147.5157623291016","Rural garden","2002-09-08","JU","M.-A. Félix","M.-A. Félix"
"261","JU321","JU311","None","44.42","4.4","147.5157623291016","Rural garden","2002-09-08","JU","M.-A. Félix","M.-A. Félix"
"262","MY2481","JU311","Compost","54.346355","10.117737","26.38671875","Botanical garden zoo","2012-11-21","MY","C. Petersen","C. Petersen"
"263","ECA551","JU311","Snail","44.42","4.4","147.5157623291016","Rural garden","2002-09-08","JU","M.-A. Félix","M.-A. Félix"
"264","JU3125","JU3125","Rotting fruit","38.1127","13.3722","10.79262733459473","Botanical garden zoo","2016-04-20","JU","M.-A. Félix","M.-A. Félix"
"265","JU3127","JU3127","Rotting fruit","38.11196","13.37274","10.85000801086426","Botanical garden zoo","2016-04-20","JU","M.-A. Félix","M.-A. Félix"
"266","JU3128","JU3128","Rotting fruit","37.076","15.2763","13.35430335998535","None","2016-04-23","JU","M.-A. Félix","M.-A. Félix"
"267","JU3132","JU3132","Rotting fruit","48.7015","2.1725","64.53678894042969","Rural garden","2011-10-10","JU","M.-A. Félix","M.-A. Félix"
"268","JU3134","JU3134","Rotting fruit","48.7015","2.1725","64.53678894042969","Rural garden","2011-11-11","JU","M.-A. Félix","M.-A. Félix"
"269","JU3135","JU3135","Rotting fruit","48.7015","2.1725","64.53678894042969","Rural garden","None","JU","M.-A. Félix","M.-A. Félix"
"270","JU3137","JU3137","Rotting fruit","48.7015","2.1725","64.53678894042969","Rural garden","2014-10-20","JU","M.-A. Félix","M.-A. Félix"
"271","JU3140","JU3140","Rotting stem","48.71","-3.81","28.23330307006836","Rural garden","2009-08-09","JU","M.-A. Félix","M.-A. Félix"
"272","JU3144","JU3144","Leaf litter","6.18","10.52","2735.54150390625","Mountain","2016-05-01","JU","M.-A. Félix","J. David"
"273","JU322","JU323","None","44.42","4.4","147.5157623291016","Rural garden","2002-09-08","JU","M.-A. Félix","M.-A. Félix"
"274","JU323","JU323","None","44.42","4.4","147.5157623291016","Rural garden","2002-09-08","JU","M.-A. Félix","M.-A. Félix"
"275","JU342","JU323","Snail","44.42","4.4","147.5157623291016","Rural garden","2002-09-08","JU","M.-A. Félix","M.-A. Félix"
"276","JU347","JU323","Snail","44.42","4.4","147.5157623291016","Rural garden","2002-09-08","JU","M.-A. Félix","M.-A. Félix"
"277","JU3131","JU323","Rotting fruit","48.7015","2.1725","64.53678894042969","Rural garden","2008-10-23","JU","M.-A. Félix","M.-A. Félix"
"278","JU346","JU346","Isopod","44.42","4.4","147.5157623291016","Rural garden","2002-09-08","JU","M.-A. Félix","M.-A. Félix"
"279","JU345","JU346","Isopod","44.42","4.4","147.5157623291016","Rural garden","2002-09-08","JU","M.-A. Félix","M.-A. Félix"
"280","JU360","JU360","Compost","48.98","2.23","94.06419372558594","Urban garden","2002-09-16","JU","M.-A. Félix","C. Pieau"
"281","JU362","JU360","Compost","48.98","2.23","94.06419372558594","Urban garden","2002-09-16","JU","M.-A. Félix","C. Pieau"
"282","JU363","JU360","Compost","48.98","2.23","94.06419372558594","Urban garden","2002-09-16","CGC","M.-A. Félix","C. Pieau"
"283","JU364","JU360","Compost","48.98","2.23","94.06419372558594","Urban garden","2002-09-16","JU","M.-A. Félix","C. Pieau"
"284","JU366","JU360","Compost","48.98","2.23","94.06419372558594","Urban garden","2002-09-16","JU","M.-A. Félix","C. Pieau"
"285","JU368","JU360","Compost","48.98","2.23","94.06419372558594","Urban garden","2002-09-16","JU","M.-A. Félix","C. Pieau"
"286","JU369","JU360","Compost","48.98","2.23","94.06419372558594","Urban garden","2002-09-16","JU","M.-A. Félix","C. Pieau"
"287","JU370","JU360","Compost","48.98","2.23","94.06419372558594","Urban garden","2002-09-16","JU","M.-A. Félix","C. Pieau"
"288","JU801","JU360","Compost","48.98","2.23","94.06419372558594","Urban garden","2005-07-19","JU","A. Barrière","C. Pieau"
"289","JU361","JU367","Compost","48.98","2.23","94.06419372558594","Urban garden","2002-09-16","JU","M.-A. Félix","C. Pieau"
"290","JU367","JU367","Compost","48.98","2.23","94.06419372558594","Urban garden","2002-09-16","JU","M.-A. Félix","C. Pieau"
"291","JU371","JU367","Compost","48.98","2.23","94.06419372558594","Urban garden","2002-09-16","JU","M.-A. Félix","C. Pieau"
"292","JU692","JU367","Compost","48.98","2.23","94.06419372558594","Urban garden","2005-04-06","JU","M.-A. Félix","C. Pieau"
"293","JU693","JU367","Compost","48.98","2.23","94.06419372558594","Urban garden","2005-04-06","JU","M.-A. Félix","C. Pieau"
"294","JU694","JU367","Compost","48.98","2.23","94.06419372558594","Urban garden","2005-04-06","JU","M.-A. Félix","C. Pieau"
"295","JU393","JU393","Compost","49.28","-0.32","15.89697360992432","Rural garden","2002-09-01","JU","A. Barrière","A. Barrière"
"296","JU394","JU394","Compost","49.28","-0.32","15.89697360992432","Rural garden","2002-09-01","JU","A. Barrière","A. Barrière"
"297","JU399","JU394","Compost","49.28","-0.32","15.89697360992432","Rural garden","2002-09-01","JU","A. Barrière","A. Barrière"
"298","JU400","JU394","Compost","49.28","-0.32","15.89697360992432","Rural garden","2002-09-01","JU","A. Barrière","A. Barrière"
"299","JU397","JU397","Compost","49.28","-0.32","15.89697360992432","Rural garden","2002-09-01","JU","A. Barrière","A. Barrière"
"300","JU398","JU397","Compost","49.28","-0.32","15.89697360992432","Rural garden","2002-09-01","JU","A. Barrière","A. Barrière"
"301","JU401","JU397","Compost","49.28","-0.32","15.89697360992432","Rural garden","2002-09-01","JU","A. Barrière","A. Barrière"
"302","JU402","JU397","Compost","49.28","-0.32","15.89697360992432","Rural garden","2002-09-01","JU","A. Barrière","A. Barrière"
"303","JU406","JU406","Compost","49.28","-0.32","15.89697360992432","Rural garden","2002-12-30","JU","A. Barrière","A. Barrière"
"304","JU407","JU406","Compost","49.28","-0.32","15.89697360992432","Rural garden","2002-12-30","JU","A. Barrière","A. Barriere"
"305","JU440","JU440","Compost","48.715","1.56","133.2373352050781","Rural garden","2003-09-12","JU","M.-A. Félix","D. Baïlle"
"306","JU561","JU561","Isopod","48.71","-3.81","28.23330307006836","Rural garden","2004-10-03","JU","M.-A. Félix","M.-A. Félix"
"307","JU563","JU561","Compost","48.7069","-3.8037","65.97254180908203","Rural garden","2004-10-03","JU","M.-A. Félix","M.-A. Félix"
"308","JU642","JU642","Compost","48.84","2.5","46.69456481933594","Urban garden","2004-12-14","JU","M.-A. Félix","J.-A. Lepesant"
"309","JU751","JU751","Compost","48.84","2.5","46.69456481933594","Urban garden","2005-06-08","JU","M.-A. Félix","J.-A. Lepesant"
"310","JU774","JU774","Compost","38.683","-9.34","16.09921073913574","Urban garden","2005-07-10","JU","M.-A. Félix","M.-A. Félix"
"311","JU775","JU775","Rotting fruit","38.7175","-9.1486","65.96717071533203","Botanical garden zoo","2005-07-10","JU","M.-A. Félix","M.-A. Félix"
"312","JU799","JU775","Rotting fruit","38.7175","-9.1486","65.96717071533203","Botanical garden zoo","2005-07-10","JU","M.-A. Félix","M.-A. Félix"
"313","JU778","JU778","Rotting fruit","38.719","-9.1491","61.50994873046875","Botanical garden zoo","2005-07-10","JU","M.-A. Félix","M.-A. Félix"
"314","JU782","JU782","Compost","38.7191","-9.1503","76.69290924072266","Botanical garden zoo","2005-07-10","JU","M.-A. Félix","M.-A. Félix"
"315","JU395","JU792","Compost","49.28","-0.32","15.89697360992432","Rural garden","2002-09-01","JU","A. Barrière","A. Barrière"
"316","JU396","JU792","Compost","49.28","-0.32","15.89697360992432","Rural garden","2002-09-01","JU","A. Barrière","A. Barrière"
"317","JU622","JU792","Leaf litter","43.06","0.24","475.9403686523438","Rural garden","2004-10-16","JU","M.-A. Félix","F. Back"
"318","JU792","JU792","Compost","43.06","0.24","475.9403686523438","Rural garden","2005-08-31","JU","M.-A. Félix","M.-A. Félix"
"319","JU2460","JU792","Rotting plant","48.6934","-3.9251","11.12459754943848","Agricultural land","2012-12-28","JU","M.-A. Félix","M.-A. Félix"
"320","JU2527","JU792","Rotting fruit","47.8797","-3.5999","72.32793426513672","None","2013-08-19","JU","L. Frézal","F. Besnard"
"321","JU3142","JU792","Rotting stem","48.71","-3.81","28.23330307006836","Rural garden","2009-08-09","JU","M.-A. Félix","M.-A. Félix"
"322","JU829","JU830","Compost","48.52","9.05","338.5831298828125","Urban garden","2005-09-28","JU","M.-A. Félix","R. Hong"
"323","JU830","JU830","Compost","48.52","9.05","338.5831298828125","Urban garden","2005-09-28","JU","M.-A. Félix","R. Hong"
"324","JU847","JU847","Compost","48.46","7.461","222.9274597167969","Agricultural land","2005-10-03","JU","M.-A. Félix","M.-A. Félix"
"325","JU848","JU847","Compost","48.46","7.461","222.9274597167969","Agricultural land","2005-10-03","JU","M.-A. Félix","M.-A. Félix"
"326","KR314","KR314","Rotting fruit","49.28","-123.13","39.29101181030273","Urban garden","1984-05-01","CGC","F. Dill","F. Dill"
"327","LKC34","LKC34","Rotting nut","-18.0","46.0","686.2933349609375","None","2005-06-17","CGC","V. Stowell","V. Stowell"
"328","LSJ1","LSJ1","Compost","51.45","-2.59","13.12117195129395","Urban garden","1951-01-01","CGC","W. Nicholas","W. Nicholas"
"329","MY1","MY1","Compost","52.54","7.31","35.68412399291992","Urban garden","2002-07-01","MY","H. Schulenburg","H. Schulenburg"
"330","MY10","MY10","Compost","51.96","7.53","74.2317886352539","Urban garden","2002-07-01","CGC","H. Schulenburg","H. Schulenburg"
"331","MY11","MY10","Compost","51.96","7.53","74.2317886352539","Urban garden","2002-07-01","CGC","H. Schulenburg","H. Schulenburg"
"332","MY12","MY10","Compost","51.96","7.53","74.2317886352539","Urban garden","2002-07-01","CGC","H. Schulenburg","H. Schulenburg"
"333","MY13","MY10","Compost","51.96","7.53","74.2317886352539","Urban garden","2002-07-01","CGC","H. Schulenburg","H. Schulenburg"
"334","MY17","MY10","Compost","51.96","7.53","74.2317886352539","Urban garden","2002-07-01","CGC","H. Schulenburg","H. Schulenburg"
"335","MY19","MY10","Compost","51.96","7.53","74.2317886352539","Urban garden","2002-07-01","CGC","H. Schulenburg","H. Schulenburg"
"336","MY20","MY10","Compost","51.96","7.53","74.2317886352539","Urban garden","2002-07-01","CGC","H. Schulenburg","H. Schulenburg"
"337","MY21","MY10","Compost","51.96","7.53","74.2317886352539","Urban garden","2002-07-01","CGC","H. Schulenburg","H. Schulenburg"
"338","MY22","MY10","Compost","51.96","7.53","74.2317886352539","Urban garden","2002-07-01","CGC","H. Schulenburg","H. Schulenburg"
"339","MY3","MY10","Compost","51.96","7.53","74.2317886352539","Urban garden","2002-07-01","CGC","H. Schulenburg","H. Schulenburg"
"340","MY4","MY10","Compost","51.96","7.53","74.2317886352539","Urban garden","2002-07-01","CGC","H. Schulenburg","H. Schulenburg"
"341","MY5","MY10","Compost","51.96","7.53","74.2317886352539","Urban garden","2002-07-01","CGC","H. Schulenburg","H. Schulenburg"
"342","MY7","MY10","Compost","51.96","7.53","74.2317886352539","Urban garden","2002-07-01","CGC","H. Schulenburg","H. Schulenburg"
"343","MY8","MY10","Compost","51.96","7.53","74.2317886352539","Urban garden","2002-07-01","CGC","H. Schulenburg","H. Schulenburg"
"344","MY9","MY10","Compost","51.96","7.53","74.2317886352539","Urban garden","2002-07-01","CGC","H. Schulenburg","H. Schulenburg"
"345","MY16","MY16","Compost","51.93","7.57","60.92054748535156","Urban garden","2002-07-01","CGC","H. Schulenburg","H. Schulenburg"
"346","MY18","MY18","Compost","51.96","7.53","74.2317886352539","Urban garden","2002-07-01","CGC","H. Schulenburg","H. Schulenburg"
"347","MY6","MY18","Compost","51.96","7.53","74.2317886352539","Urban garden","2002-07-01","CGC","H. Schulenburg","H. Schulenburg"
"348","MY2143","MY2147","Compost","54.346355","10.117737","26.38671875","Botanical garden zoo","2012-09-17","MY","C. Petersen","C. Petersen"
"349","MY2147","MY2147","Compost","54.346355","10.117737","26.38671875","Botanical garden zoo","2012-09-17","MY","C. Petersen","C. Petersen"
"350","MY2212","MY2212","Isopod","54.346355","10.117737","26.38671875","Botanical garden zoo","2012-09-26","MY","C. Petersen","C. Petersen"
"351","JU1171","MY23","Compost","-36.82","-72.99","21.31593322753906","None","2007-04-01","JU","M.-A. Félix","M.-A. Félix"
"352","MY14","MY23","Compost","51.96","7.53","74.2317886352539","Urban garden","2002-07-01","CGC","H. Schulenburg","H. Schulenburg"
"353","MY15","MY23","Compost","51.93","7.57","60.92054748535156","Urban garden","2002-07-01","CGC","H. Schulenburg","H. Schulenburg"
"354","MY2","MY23","Compost","51.96","7.53","74.2317886352539","Urban garden","2002-07-01","CGC","H. Schulenburg","H. Schulenburg"
"355","MY23","MY23","Compost","51.96","7.53","74.2317886352539","Urban garden","2002-07-01","CGC","H. Schulenburg","H. Schulenburg"
"356","BRC20231","MY23","Rotting flower","23.541517","120.908112","1550.65625","None","2014-06-15","BRC","None","Volans"
"357","MY2004","MY2453","Compost","51.950777","7.536628","70.87430572509766","Rural garden","2012-06-20","MY","C. Petersen","C. Petersen"
"358","MY2011","MY2453","Compost","51.950777","7.536628","70.87430572509766","Rural garden","2012-07-04","MY","C. Petersen","C. Petersen"
"359","MY2014","MY2453","Slug","51.950777","7.536628","70.87430572509766","Rural garden","2012-07-04","MY","C. Petersen","C. Petersen"
"360","MY2050","MY2453","Compost","51.950777","7.536628","70.87430572509766","Rural garden","2012-07-18","MY","C. Petersen","C. Petersen"
"361","MY2051","MY2453","Compost","51.950777","7.536628","70.87430572509766","Rural garden","2012-07-18","MY","C. Petersen","C. Petersen"
"362","MY2054","MY2453","Isopod","51.950777","7.536628","70.87430572509766","Rural garden","2012-07-18","MY","C. Petersen","C. Petersen"
"363","MY2121","MY2453","Compost","51.950777","7.536628","70.87430572509766","Rural garden","2012-08-15","MY","C. Petersen","C. Petersen"
"364","MY2137","MY2453","Compost","51.950777","7.536628","70.87430572509766","Rural garden","2012-09-17","MY","C. Petersen","C. Petersen"
"365","MY2199","MY2453","Compost","51.950777","7.536628","70.87430572509766","Rural garden","2012-09-26","MY","C. Petersen","C. Petersen"
"366","MY2288","MY2453","Compost","51.950777","7.536628","70.87430572509766","Rural garden","2012-10-10","MY","C. Petersen","C. Petersen"
"367","MY2339","MY2453","Compost","51.950777","7.536628","70.87430572509766","Rural garden","2012-10-24","MY","C. Petersen","C. Petersen"
"368","MY2453","MY2453","Compost","51.950777","7.536628","70.87430572509766","Rural garden","2012-11-07","MY","C. Petersen","C. Petersen"
"369","MY2502","MY2453","Compost","51.950777","7.536628","70.87430572509766","Rural garden","2012-11-21","MY","C. Petersen","C. Petersen"
"370","MY2541","MY2453","Compost","51.950777","7.536628","70.87430572509766","Rural garden","2012-12-05","MY","C. Petersen","C. Petersen"
"371","MY2579","MY2453","Compost","51.950777","7.536628","70.87430572509766","Rural garden","2012-12-10","MY","C. Petersen","C. Petersen"
"372","MY524","MY2453","Compost","51.950777","7.536628","70.87430572509766","Rural garden","2011-11-28","MY","C. Petersen","C. Petersen"
"373","MY561","MY2453","Compost","51.950777","7.536628","70.87430572509766","Rural garden","2011-09-08","MY","C. Petersen","C. Petersen"
"374","MY564","MY2453","Compost","51.950777","7.536628","70.87430572509766","Rural garden","2011-09-08","MY","C. Petersen","C. Petersen"
"375","MY570","MY2453","Slug","51.950777","7.536628","70.87430572509766","Rural garden","2011-09-08","MY","C. Petersen","C. Petersen"
"376","MY713","MY2453","Compost","51.950777","7.536628","70.87430572509766","Rural garden","2011-10-12","MY","C. Petersen","C. Petersen"
"377","MY792","MY2453","Compost","51.950777","7.536628","70.87430572509766","Rural garden","2011-10-24","MY","C. Petersen","C. Petersen"
"378","MY819","MY2453","Compost","51.950777","7.536628","70.87430572509766","Rural garden","2011-11-02","MY","C. Petersen","C. Petersen"
"379","MY864","MY2453","Compost","51.950723","7.599099","64.68638610839844","Rural garden","2011-11-14","MY","C. Petersen","C. Petersen"
"380","MY965","MY2453","Compost","51.950777","7.536628","70.87430572509766","Rural garden","2012-05-09","MY","C. Petersen","C. Petersen"
"381","JU3136","MY2453","Rotting fruit","48.7015","2.1725","64.53678894042969","Rural garden","None","JU","M.-A. Félix","M.-A. Félix"
"382","MY2530","MY2530","Compost","54.346355","10.117737","26.38671875","Botanical garden zoo","2012-12-05","MY","C. Petersen","C. Petersen"
"383","MY2344","MY2535","Compost","51.950723","7.599099","64.68638610839844","Rural garden","2012-10-24","MY","C. Petersen","C. Petersen"
"384","MY2532","MY2535","Compost","54.346355","10.117737","26.38671875","Botanical garden zoo","2012-12-05","MY","C. Petersen","C. Petersen"
"385","MY2535","MY2535","Compost","51.950723","7.599099","64.68638610839844","Rural garden","2012-12-05","MY","C. Petersen","C. Petersen"
"386","MY881","MY2535","Compost","51.950723","7.599099","64.68638610839844","Rural garden","2011-12-01","MY","C. Petersen","C. Petersen"
"387","NIC508","MY2535","Flower","40.86183","14.261756","43.64314651489258","Botanical garden zoo","2013-11-14","NIC","C. Braendle","C. Braendle"
"388","NIC512","MY2535","Fruit","40.8625","14.2623855","40.05019378662109","Botanical garden zoo","2013-11-14","NIC","C. Braendle","C. Braendle"
"389","MY2142","MY2573","Isopod","51.950723","7.599099","64.68638610839844","Rural garden","2012-09-17","MY","C. Petersen","C. Petersen"
"390","MY2144","MY2573","Compost","51.950723","7.599099","64.68638610839844","Rural garden","2012-09-17","MY","C. Petersen","C. Petersen"
"391","MY2198","MY2573","Compost","51.950723","7.599099","64.68638610839844","Rural garden","2012-09-26","MY","C. Petersen","C. Petersen"
"392","MY2208","MY2573","Isopod","54.346355","10.117737","26.38671875","Botanical garden zoo","2012-09-26","MY","C. Petersen","C. Petersen"
"393","MY2224","MY2573","Isopod","54.346355","10.117737","26.38671875","Botanical garden zoo","2012-09-26","MY","C. Petersen","C. Petersen"
"394","MY2282","MY2573","Compost","51.950723","7.599099","64.68638610839844","Rural garden","2012-10-10","MY","C. Petersen","C. Petersen"
"395","MY2294","MY2573","Compost","51.950723","7.599099","64.68638610839844","Rural garden","2012-10-10","MY","C. Petersen","C. Petersen"
"396","MY2338","MY2573","Compost","51.950723","7.599099","64.68638610839844","Rural garden","2012-10-24","MY","C. Petersen","C. Petersen"
"397","MY2434","MY2573","Compost","51.950723","7.599099","64.68638610839844","Rural garden","2012-11-07","MY","C. Petersen","C. Petersen"
"398","MY2443","MY2573","Compost","51.950723","7.599099","64.68638610839844","Rural garden","2012-11-07","MY","C. Petersen","C. Petersen"
"399","MY2491","MY2573","Compost","51.950723","7.599099","64.68638610839844","Rural garden","2012-11-21","MY","C. Petersen","C. Petersen"
"400","MY2573","MY2573","Compost","51.950723","7.599099","64.68638610839844","Rural garden","2012-12-10","MY","C. Petersen","C. Petersen"
"401","MY559","MY2573","Slug","51.950723","7.599099","64.68638610839844","Rural garden","2011-09-09","MY","C. Petersen","C. Petersen"
"402","MY579","MY2573","Compost","51.950723","7.599099","64.68638610839844","Rural garden","2011-09-09","MY","C. Petersen","C. Petersen"
